Radius,Qs
0,NaN
0.001,9.08E-17
0.002,5.81E-15
0.003,6.62E-14
0.004,3.72E-13
0.005,1.42E-12
0.006,4.24E-12
0.007,1.07E-11
0.008,2.38E-11
0.009,4.83E-11
0.01,9.08E-11
0.011,1.61E-10
0.012,2.71E-10
0.013,4.38E-10
0.014,6.84E-10
0.015,1.03E-09
0.016,1.52E-09
0.017,2.19E-09
0.018,3.09E-09
0.019,4.27E-09
0.02,5.81E-09
0.021,7.79E-09
0.022,1.03E-08
0.023,1.34E-08
0.024,1.74E-08
0.025,2.22E-08
0.026,2.81E-08
0.027,3.52E-08
0.028,4.38E-08
0.029,5.40E-08
0.03,6.62E-08
0.031,8.06E-08
0.032,9.75E-08
0.033,1.17E-07
0.034,1.40E-07
0.035,1.67E-07
0.036,1.98E-07
0.037,2.33E-07
0.038,2.73E-07
0.039,3.20E-07
0.04,3.72E-07
0.041,4.31E-07
0.042,4.98E-07
0.043,5.74E-07
0.044,6.59E-07
0.045,7.54E-07
0.046,8.60E-07
0.047,9.79E-07
0.048,1.11E-06
0.049,1.26E-06
0.05,1.42E-06
0.051,1.60E-06
0.052,1.80E-06
0.053,2.01E-06
0.054,2.25E-06
0.055,2.51E-06
0.056,2.80E-06
0.057,3.11E-06
0.058,3.46E-06
0.059,3.83E-06
0.06,4.24E-06
0.061,4.68E-06
0.062,5.16E-06
0.063,5.68E-06
0.064,6.24E-06
0.065,6.85E-06
0.066,7.50E-06
0.067,8.21E-06
0.068,8.98E-06
0.069,9.80E-06
0.07,1.07E-05
0.071,1.16E-05
0.072,1.26E-05
0.073,1.37E-05
0.074,1.49E-05
0.075,1.62E-05
0.076,1.75E-05
0.077,1.89E-05
0.078,2.04E-05
0.079,2.21E-05
0.08,2.38E-05
0.081,2.56E-05
0.082,2.76E-05
0.083,2.97E-05
0.084,3.19E-05
0.085,3.42E-05
0.086,3.67E-05
0.087,3.93E-05
0.088,4.21E-05
0.089,4.51E-05
0.09,4.82E-05
0.091,5.15E-05
0.092,5.50E-05
0.093,5.87E-05
0.094,6.26E-05
0.095,6.67E-05
0.096,7.10E-05
0.097,7.55E-05
0.098,8.03E-05
0.099,8.54E-05
0.1,9.07E-05
0.101,9.62E-05
0.102,0.000102073
0.103,0.000108218
0.104,0.000114667
0.105,0.000121434
0.106,0.000128529
0.107,0.000135965
0.108,0.000143757
0.109,0.000151916
0.11,0.000160457
0.111,0.000169393
0.112,0.00017874
